sample_id,fg_area_ratio,fg_area_ratio_valid,empty_space_ratio,empty_space_ratio_valid,bbox_area_ratio,bbox_area_ratio_valid,centroid_x_norm,centroid_x_norm_valid,centroid_y_norm,centroid_y_norm_valid,top_mass_ratio,top_mass_ratio_valid,bottom_mass_ratio,bottom_mass_ratio_valid,stroke_darkness_mean,stroke_darkness_mean_valid,stroke_darkness_std,stroke_darkness_std_valid,component_count_norm,component_count_norm_valid,skeleton_break_count_norm,skeleton_break_count_norm_valid,shading_ratio,shading_ratio_valid,unique_hue_count,unique_hue_count_valid,warm_ratio,warm_ratio_valid,dark_color_ratio,dark_color_ratio_valid,sharp_angle_ratio,sharp_angle_ratio_valid,dominant_orientation_abs,dominant_orientation_abs_valid,figure_integrity_proxy,figure_integrity_proxy_valid
105-4B-58-F-H,0.17744842171669006,1,0.8225516080856323,1,1.0,1,0.5633529424667358,1,0.5452974438667297,1,0.449299156665802,1,0.550700843334198,1,0.522079586982727,1,0.270570307970047,1,35.50155258178711,1,87.890625,1,0.36458998918533325,1,12.0,1,0.8153537511825562,1,0.06620661914348602,1,0.17819148302078247,1,0.1918506920337677,1,0.3548968434333801,1
105-4D-1224-F-S,0.031535953283309937,1,0.9684640169143677,1,0.9072643518447876,1,0.4677525460720062,1,0.5296414494514465,1,0.40325063467025757,1,0.5967493653297424,1,0.40902531147003174,1,0.16746531426906586,1,8.093059539794922,1,19.3154354095459,1,0.05423438921570778,1,7.0,1,0.0,1,0.00019962880469392985,1,0.19811320304870605,1,0.2811104953289032,1,0.1584189385175705,1
105-4D-176-M-S,0.06494949758052826,1,0.9350504875183105,1,0.9944751262664795,1,0.5645439624786377,1,0.5358558297157288,1,0.4324638545513153,1,0.5675361156463623,1,0.634858250617981,1,0.27566254138946533,1,18.883804321289062,1,35.339691162109375,1,0.5090546607971191,1,7.0,1,0.5688527226448059,1,0.08938514441251755,1,0.1704035848379135,1,0.27371469140052795,1,0.12989899516105652,1
105-4D-62-M-S,0.0723627433180809,1,0.9276372790336609,1,0.8810428380966187,1,0.4314159154891968,1,0.44769999384880066,1,0.5655383467674255,1,0.43446168303489685,1,0.34171444177627563,1,0.20123974978923798,1,11.65400505065918,1,39.81785202026367,1,0.06613480299711227,1,7.0,1,0.20119084417819977,1,0.003172479337081313,1,0.14712388813495636,1,0.44370898604393005,1,0.1447254866361618,1
105-4D-71-M-S,0.05680248513817787,1,0.94319748878479,1,0.9618061780929565,1,0.515125036239624,1,0.3819394111633301,1,0.641907274723053,1,0.35809269547462463,1,0.23154164850711823,1,0.16417014598846436,1,12.409358024597168,1,28.541522979736328,1,0.026215804740786552,1,6.0,1,0.13202378153800964,1,0.0008093059295788407,1,0.14355628192424774,1,0.569439709186554,1,0.11360497027635574,1
105-4F-440-F-S,0.14494669437408447,1,0.8550533056259155,1,0.8070992231369019,1,0.5807173848152161,1,0.4852162301540375,1,0.5345245003700256,1,0.46547552943229675,1,0.6380366683006287,1,0.34754371643066406,1,8.524689674377441,1,61.45329666137695,1,0.6563558578491211,1,9.0,1,0.9601221680641174,1,0.11453297734260559,1,0.09417040646076202,1,0.15992988646030426,1,0.36365893483161926,1
106-3A-136-F-S,0.05878258869051933,1,0.9412174224853516,1,1.0,1,0.48886117339134216,1,0.5157485008239746,1,0.49536484479904175,1,0.5046351552009583,1,0.24389386177062988,1,0.21057851612567902,1,8.254920959472656,1,20.39451026916504,1,0.10032124817371368,1,9.0,1,0.33442026376724243,1,0.001953125,1,0.10557185113430023,1,0.11185615509748459,1,0.20481914281845093,1
106-3C-565-F-S,0.09301622956991196,1,0.9069837927818298,1,0.990234375,1,0.4668002724647522,1,0.6439449191093445,1,0.2020881623029709,1,0.7979118227958679,1,0.6004472374916077,1,0.2660154700279236,1,11.761913299560547,1,40.303436279296875,1,0.533294677734375,1,10.0,1,0.47199779748916626,1,0.02897854708135128,1,0.15942029654979706,1,0.011377954855561256,1,0.1860324591398239,1
106-3C-985-F-S,0.23201721906661987,1,0.7679827809333801,1,1.0,1,0.4784862995147705,1,0.5109100341796875,1,0.45561936497688293,1,0.5443806052207947,1,0.36156126856803894,1,0.2237369418144226,1,37.875518798828125,1,119.61541748046875,1,0.10515545308589935,1,15.0,1,0.34506961703300476,1,0.005433140322566032,1,0.22706766426563263,1,0.059232454746961594,1,0.46403443813323975,1
106-3D-844-F-S,0.023971641436219215,1,0.9760283827781677,1,0.7900660634040833,1,0.30639752745628357,1,0.5030987858772278,1,0.4553229808807373,1,0.5446770191192627,1,0.26921749114990234,1,0.22866424918174744,1,1.888380527496338,1,6.9060773849487305,1,0.05199189856648445,1,8.0,1,0.7717277407646179,1,0.0003776761004701257,1,0.22972972691059113,1,0.6271038055419922,1,0.45352426171302795,1
